occupants,timeStart,timeEnd,duration
2,2022-07-05 19:17:58,2022-07-05 19:21:55,238
3,2022-07-05 19:21:56,2022-07-05 19:22:32,37
2,2022-07-05 19:22:33,2022-07-05 19:26:03,211
3,2022-07-05 19:26:04,2022-07-05 19:26:32,29
2,2022-07-05 19:26:33,2022-07-05 19:27:04,32
1,2022-07-05 19:27:05,2022-07-05 19:27:39,35
2,2022-07-05 19:27:40,2022-07-05 19:29:32,113
3,2022-07-05 19:29:33,2022-07-05 19:29:49,17
4,2022-07-05 19:29:50,2022-07-05 19:30:09,20
3,2022-07-05 19:30:10,2022-07-05 19:33:30,201
2,2022-07-05 19:33:31,2022-07-05 19:36:09,159
3,2022-07-05 19:36:10,2022-07-05 19:39:16,187
2,2022-07-05 19:39:17,2022-07-05 19:39:31,15
3,2022-07-05 19:39:32,2022-07-05 19:41:53,142
2,2022-07-05 19:41:54,2022-07-05 19:42:53,60
3,2022-07-05 19:42:54,2022-07-05 19:43:56,63
4,2022-07-05 19:43:57,2022-07-05 19:44:08,12
3,2022-07-05 19:44:09,2022-07-05 19:45:49,101
2,2022-07-05 19:45:50,2022-07-05 19:46:05,16
1,2022-07-05 19:46:06,2022-07-05 19:50:06,241
2,2022-07-05 19:50:07,2022-07-05 19:52:45,159
3,2022-07-05 19:52:46,2022-07-05 19:52:59,14
4,2022-07-05 19:53:00,2022-07-05 19:53:29,30
5,2022-07-05 19:53:30,2022-07-05 19:53:54,25
3,2022-07-05 19:53:55,2022-07-05 19:53:58,4
2,2022-07-05 19:53:59,2022-07-05 19:54:38,40
1,2022-07-05 19:54:39,2022-07-05 19:55:51,73
2,2022-07-05 19:55:52,2022-07-05 19:56:29,38
3,2022-07-05 19:56:30,2022-07-05 19:57:50,81
4,2022-07-05 19:57:51,2022-07-05 19:57:57,7
3,2022-07-05 19:57:58,2022-07-05 19:59:57,120
1,2022-07-05 19:59:58,2022-07-05 20:05:44,347
2,2022-07-05 20:05:45,2022-07-05 20:07:02,78
1,2022-07-05 20:07:03,2022-07-05 20:10:19,197
2,2022-07-05 20:10:20,2022-07-05 20:19:25,546
3,2022-07-05 20:19:26,2022-07-05 20:20:38,73
4,2022-07-05 20:20:39,2022-07-05 20:20:42,4
5,2022-07-05 20:20:43,2022-07-05 20:21:25,43
4,2022-07-05 20:21:26,2022-07-05 20:21:27,2
3,2022-07-05 20:21:28,2022-07-05 20:29:13,466
4,2022-07-05 20:29:14,2022-07-05 20:30:13,60
3,2022-07-05 20:30:14,2022-07-05 20:35:25,312
4,2022-07-05 20:35:26,2022-07-05 20:36:26,61
3,2022-07-05 20:36:27,2022-07-05 20:45:43,557
2,2022-07-05 20:45:44,2022-07-05 20:53:00,437
3,2022-07-05 20:53:01,2022-07-05 20:53:14,14
2,2022-07-05 20:53:15,2022-07-05 20:58:02,288
1,2022-07-05 20:58:03,2022-07-05 20:58:45,43
